"","swab_id","site_id","latitude","longitude","date","fluidigm_run","main_locale","genus","species"
"32","RKS16456","Volcanic_Basin",36.9,-118.596,"8/5/13","F2017","seki","rana","sierrae"
"33","RKS17077","Rambaud_Basin",37.052,-118.619,"7/10/14","F2017","seki","rana","sierrae"
"34","RKS1747","Marion_Basin",36.951,-118.522,"8/19/05","F2017","seki","rana","muscosa"
"35","RKS1874","Coyote_Basin",36.358,-118.471,"8/19/05","F2017","seki","rana","muscosa"
"36","RKS1891","Laurel_Basin",36.37,-118.484,"8/20/05","F2017","seki","rana","muscosa"
"37","RKS3104","Reflection_Basin",36.724,-118.464,"9/4/05","F2017","seki","rana","muscosa"
"38","RKS4031","15",37.72363917,-119.2994437,NA,"F2016","yose","rana","sierrae"
"39","RKS5063","Milestone_Basin",36.644,-118.462,"9/3/07","F2017","seki","rana","muscosa"
"40","RKS5097","Muro_Blanco_Basin",36.938,-118.536,"8/21/07","F2017","seki","rana","muscosa"
"41","RKS9694","4",38.02999279,-119.6404274,NA,"F2016","yose","rana","sierrae"
"42","SMS09009","16307",38.17338418,-119.7438827,"21-Jul-09","F2019_2","emigrant","rana","sierrae"
"43","SMS09029","16080",38.18913913,-119.7328867,"20-Jul-09","F2019_2","emigrant","rana","sierrae"
"44","TP106","11",37.80741794,-119.3138526,NA,"F2016","yose","rana","sierrae"
"45","APR002","SNF",37.084791,-119.187592,NA,"F2019_4","SNF","rana","sierrae"
"46","GES10012","14590",38.6685062,-120.0275014,"11-Jul-10","F2019_1","cdfw_north","rana","sierrae"
"47","GES10041","50153",38.61066955,-120.1913707,"8-Aug-10","F2019_2","cdfw_north","rana","sierrae"
"48","GES10057","50172",38.49623267,-119.9361546,"14-Aug-10","F2019_2","cdfw_north","rana","sierrae"
"49","GES10084","12052",39.95810252,-121.1589764,"23-Sep-10","F2019_1","cdfw_north","rana","sierrae"
"50","JLS09002","16130",38.18368633,-119.7425799,"18-Jul-09","F2019_2","emigrant","rana","sierrae"
"51","KMS09021","16031",38.19275983,-119.8514241,"15-Jul-09","F2019_2","emigrant","rana","sierrae"
"52","KMS11082","13076",39.37611626,-120.3889816,"27-Sep-11","F2019_1","cdfw_north","rana","sierrae"
"53","RKS27061","52250",38.19755748,-119.5804213,"7/28/18","F2019_3","htynf","rana","sierrae"
"54","RKS3358","Barrett_Basin",37.071,-118.544,"9/15/05","F2017","seki","rana","sierrae"
"55","RKS5103","Cartridge_Basin",36.969,-118.486,"8/23/07","F2017","seki","rana","muscosa"
"56","RKS5320","Upper_Basin",37.018,-118.442,"7/9/07","F2017","seki","rana","muscosa"
"57","RKS5952","8",37.98719778,-119.3573099,NA,"F2016","yose","rana","sierrae"
"58","SMS10012","14306",38.84903434,-120.1404699,"29-Oct-10","F2019_1","cdfw_north","rana","sierrae"
"59","SMS10013","14365",38.835446,-120.1337804,"6-Jul-10","F2019_1","cdfw_north","rana","sierrae"
"60","MTS13097","10",37.84042112,-119.3851488,NA,"F2016","yose","rana","sierrae"
"61","RKS11743","Mulkey_Meadows",36.407,-118.161,"7/9/11","F2017","seki","rana","muscosa"
"62","RKS14643","Darwin_Bench",37.197,-118.721,"8/1/12","F2017","seki","rana","sierrae"
"63","RKS16450","Gorge_Basin",36.884,-118.738,"8/2/13","F2017","seki","rana","sierrae"
"64","RKS17133","Black_Giant_Basin",37.124,-118.643,"7/9/14","F2017","seki","rana","sierrae"
"65","SMS10003","12273",39.67347117,-120.6364998,"17-Jun-10","F2019_1","cdfw_north","rana","sierrae"
"66","KGS10032","12069",39.94088799,-121.1421746,"24-Sep-10","F2019_1","cdfw_north","rana","sierrae"
"67","RKS11515","Forester_Basin",36.715,-118.369,"9/11/10","F2017","seki","rana","muscosa"
"68","RKS11593","McGee_Basin",37.159,-118.723,"9/16/10","F2017","seki","rana","muscosa"
"69","RKS14659","LeConte_Divide",37.17,-118.806,"8/3/12","F2017","seki","rana","sierrae"
"70","RKS25536","53003",37.4649671,-118.8292811,"8/9/18","F2019_3","htynf","rana","sierrae"
"71","SMS10002","12273",39.67347117,-120.6364998,"17-Jun-10","F2019_1","cdfw_north","rana","sierrae"
"72","JLS10003","50204",38.6096923,-119.8931253,"30-Jun-10","F2019_2","cdfw_north","rana","sierrae"
"73","SM1221","14305",38.84930697,-120.1534201,"16-Aug-12","F2019_1","cdfw_north","rana","sierrae"
"74","MNW15_046_S9","Devils_Canyon_ANF",34.325,-117.937,"2015","F2019_3","southern","rana","muscosa"
